energy_use_total,geo,time
3001000,hkg,1971
3136000,hkg,1972
3171000,hkg,1973
3491000,hkg,1974
3629000,hkg,1975
4040000,hkg,1976
4574000,hkg,1977
5035000,hkg,1978
4527000,hkg,1979
4628000,hkg,1980
5148000,hkg,1981
5689000,hkg,1982
6165000,hkg,1983
6238000,hkg,1984
6574000,hkg,1985
7563000,hkg,1986
8199000,hkg,1987
9227000,hkg,1988
9413000,hkg,1989
8658000,hkg,1990
8889000,hkg,1991
10670000,hkg,1992
10410000,hkg,1993
10730000,hkg,1994
10650000,hkg,1995
10470000,hkg,1996
9930000,hkg,1997
13010000,hkg,1998
15860000,hkg,1999
13390000,hkg,2000
14140000,hkg,2001
13200000,hkg,2002
13610000,hkg,2003
12810000,hkg,2004
12660000,hkg,2005
13330000,hkg,2006
14340000,hkg,2007
14140000,hkg,2008
14930000,hkg,2009
13790000,hkg,2010
14480000,hun,1965
14740000,hun,1966
15080000,hun,1967
15460000,hun,1968
16560000,hun,1969
17890000,hun,1970
19030000,hun,1971
19550000,hun,1972
21280000,hun,1973
22020000,hun,1974
22910000,hun,1975
24510000,hun,1976
25860000,hun,1977
28570000,hun,1978
28230000,hun,1979
28350000,hun,1980
28170000,hun,1981
28160000,hun,1982
27740000,hun,1983
28770000,hun,1984
29770000,hun,1985
29630000,hun,1986
30720000,hun,1987
30350000,hun,1988
30140000,hun,1989
28760000,hun,1990
27470000,hun,1991
25090000,hun,1992
25720000,hun,1993
24940000,hun,1994
25880000,hun,1995
26540000,hun,1996
26040000,hun,1997
25680000,hun,1998
25500000,hun,1999
25000000,hun,2000
25590000,hun,2001
25600000,hun,2002
26140000,hun,2003
26160000,hun,2004
27580000,hun,2005
27330000,hun,2006
26730000,hun,2007
26460000,hun,2008
24860000,hun,2009
25670000,hun,2010
25070000,hun,2011
59000,slb,2006
64000,slb,2007
45430000,zaf,1971
46190000,zaf,1972
49180000,zaf,1973
51000000,zaf,1974
53970000,zaf,1975
55840000,zaf,1976
56990000,zaf,1977
60220000,zaf,1978
62190000,zaf,1979
65380000,zaf,1980
71920000,zaf,1981
78220000,zaf,1982
79640000,zaf,1983
86410000,zaf,1984
86400000,zaf,1985
89980000,zaf,1986
93240000,zaf,1987
97010000,zaf,1988
92900000,zaf,1989
90960000,zaf,1990
94980000,zaf,1991
88590000,zaf,1992
94940000,zaf,1993
98170000,zaf,1994
103600000,zaf,1995
106200000,zaf,1996
108400000,zaf,1997
106500000,zaf,1998
109100000,zaf,1999
109300000,zaf,2000
112400000,zaf,2001
109900000,zaf,2002
117400000,zaf,2003
128700000,zaf,2004
128200000,zaf,2005
127200000,zaf,2006
137300000,zaf,2007
147700000,zaf,2008
144300000,zaf,2009
136900000,zaf,2010
16170000,esp,1960
17140000,esp,1961
18780000,esp,1962
19510000,esp,1963
21610000,esp,1964
22840000,esp,1965
25530000,esp,1966
28810000,esp,1967
32900000,esp,1968
35110000,esp,1969
37980000,esp,1970
42610000,esp,1971
44830000,esp,1972
