geo,time,sg_population
abw,1800,19286
abw,1810,19286
abw,1820,19555
abw,1830,20332
abw,1840,21423
abw,1850,22574
abw,1860,23786
abw,1870,25063
abw,1880,26404
abw,1890,27817
abw,1900,29311
abw,1910,30881
abw,1920,32539
abw,1956,45933
abw,1957,48242
abw,1958,50499
abw,1959,52535
abw,2013,102921
abw,2014,103441
abw,2015,103889
afg,1800,3280000
afg,1810,3280000
afg,1820,3323519
afg,1830,3448982
afg,1840,3625022
afg,1850,3810047
afg,1860,3973968
ago,1975,7107334
ago,1976,7299508
ago,1977,7501320
ago,1978,7717139
ago,1979,7952882
ago,1980,8211950
ago,1981,8497950
ago,1982,8807511
ago,1983,9128655
ago,1984,9444918
ago,1985,9745209
ago,1986,10023700
ago,1987,10285712
ago,1988,10544904
ago,1989,10820992
ago,1990,11127870
ago,1991,11472173
ago,1992,11848971
ago,1993,12246786
ago,2007,19183907
ago,2008,19842251
ago,2009,20520103
ago,2010,21219954
ago,2011,21942296
ago,2012,22685632
ago,2013,23448202
ago,2014,24227524
ago,2015,25021974
akr_a_dhe,1967,12016
akr_a_dhe,1968,12101
akr_a_dhe,1969,12187
akr_a_dhe,1970,12273
akr_a_dhe,1971,12359
akr_a_dhe,1972,12447
akr_a_dhe,1973,12535
akr_a_dhe,1974,12623
akr_a_dhe,1975,12712
akr_a_dhe,1976,12802
akr_a_dhe,1977,12892
akr_a_dhe,1978,12983
akr_a_dhe,1979,13075
akr_a_dhe,1980,13167
akr_a_dhe,1981,13260
akr_a_dhe,1982,13354
akr_a_dhe,1983,13448
akr_a_dhe,1984,13543
akr_a_dhe,1985,13639
akr_a_dhe,1986,13735
akr_a_dhe,1987,13832
akr_a_dhe,1988,13930
akr_a_dhe,1989,14028
akr_a_dhe,1990,14127
akr_a_dhe,1991,14227
akr_a_dhe,1992,14328
akr_a_dhe,1993,14429
akr_a_dhe,1994,14531
akr_a_dhe,1995,14633
akr_a_dhe,1996,14737
akr_a_dhe,1997,14841
akr_a_dhe,1998,14946
akr_a_dhe,1999,15051
akr_a_dhe,2000,15157
akr_a_dhe,2001,15264
akr_a_dhe,2002,15372
akr_a_dhe,2003,15481
akr_a_dhe,2004,15590
akr_a_dhe,2005,15700
akr_a_dhe,2006,15700
akr_a_dhe,2007,15700
akr_a_dhe,2008,15700
ala,1950,21649
ala,1951,21618
ala,2008,26923
ala,2009,26923
ala,2010,26923
alb,1800,410445
gbr,1800,12327466
gbr,1810,14106058
gbr,1820,16221883
gbr,1830,18533999
gbr,1840,20737251
gbr,1850,22623571
gbr,1860,24783522
gbr,1870,27651628
gbr,1880,30849957
gbr,1890,34215580
gbr,1900,37995759
gbr,1910,41804912
gbr,1920,43825720
gbr,1930,45957969
gbr,1940,48235963
gbr,1950,50616012
gbr,1951,50620538
gbr,1952,50683596
gbr,1953,50792671
gbr,1954,50938227
gbr,1955,51113711
gbr,1956,51315724
gbr,1957,51543847
gbr,1958,51800117
gbr,1959,52088147
gbr,1960,52410496
gbr,1961,52765864
gbr,1962,53146634
gbr,1963,53537821
gbr,1964,53920055
gbr,1965,54278349
gbr,1966,54606608
gbr,1967,54904680
gbr,1968,55171084
gbr,1969,55406435
gbr,1970,55611401
gbr,1971,55785325
gbr,1972,55927492
gbr,1973,56039166
gbr,1974,56122405
gbr,1975,56179925
gbr,1976,56212943
gbr,1977,56224944
gbr,1978,56223974
gbr,1979,56220089
gbr,1980,56221513
gbr,1981,56231020
gbr,1982,56250124
gbr,1983,56283959
gbr,1984,56337848
gbr,1985,56415196
gbr,1986,56519444
gbr,1987,56649375
gbr,1988,56797704
gbr,1989,56953861
gbr,1990,57110117
gbr,1991,57264600
gbr,1992,57419469
gbr,1993,57575969
gbr,1994,57736667
gbr,1995,57903790
gbr,1996,58079322
gbr,1997,58263858
gbr,1998,58456989
gbr,1999,58657794
gbr,2000,58867004
gbr,2001,59080221
gbr,2002,59301235
gbr,2003,59548421
gbr,2004,59846226
gbr,2005,60210012
gbr,2006,60648850
gbr,2007,61151820
gbr,2008,61689620
gbr,2009,62221164
gbr,2010,62716684
gbr,2011,63164949
gbr,2012,63573766
gbr,2013,63955654
gbr,2014,64331348
gbr,2015,64715810
hkg,1800,20000
hkg,1810,20000
hkg,1820,20928
hkg,1830,23754
hkg,1840,28070
hkg,1850,38893
hkg,1860,68983
hkg,1870,116126
hkg,1880,164427
hkg,1890,218690
hkg,1900,310113
hkg,1910,441726
hkg,1920,637575
hkg,1930,822959
hkg,1940,1741134
hkg,1950,1973998
hkg,1951,2036150
hkg,1952,2133603
hkg,1953,2249334
hkg,1954,2370828
hkg,1955,2490069
hkg,1956,2603777
hkg,1957,2713176
hkg,1958,2823302
hkg,1959,2941857
hkg,1960,3075752
hkg,1961,3227426
hkg,1962,3391625
hkg,1963,3554025
hkg,1964,3695136
hkg,1965,3801814
hkg,1966,3868497
hkg,1967,3901653
hkg,1968,3915095
hkg,1969,3928928
hkg,1970,3958197
hkg,1971,4005761
hkg,1972,4068406
hkg,1973,4147596
hkg,1974,4243512
hkg,1975,4355301
hkg,1976,4485813
hkg,1977,4633329
hkg,1978,4786580
hkg,1979,4930298
hkg,1980,5053684
hkg,1981,5152057
hkg,1982,5228813
hkg,1983,5291210
hkg,1984,5350467
hkg,1985,5414790
hkg,1986,5486965
hkg,1987,5564596
hkg,1988,5644652
hkg,1989,5722161
hkg,1990,5794034
hkg,1991,5857335
hkg,1992,5914576
hkg,1993,5974379
hkg,1994,6048585
hkg,1995,6144498
hkg,1996,6267295
hkg,1997,6411273
hkg,1998,6559656
hkg,1999,6689135
hkg,2000,6783502
hkg,2001,6836538
